CVE_ID,Device_Name,IP_Addresses,Operating_System,Risk_Score,Priority,Patch_Urgency_Days,Patch_Deadline,Status,User_ID,User_Name,Scan_Timestamp
CVE-2023-7024,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-0519,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-21338,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-21338,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-21351,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-21351,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-21412,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-21412,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-26169,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-26169,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-26169,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-26234,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
